TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
PDX1	1	0.36742403380329586	1.7734867867863278	ChEA_2022	PDX1 19855005 ChIP-ChIP MIN6 Mouse	0.4348324391930628
ASXL1	1	0.36742403380329586	1.7100843680658147	ChEA_2022	ASXL1 24218140 ChIP-Seq BMDM Mouse	0.4348324391930628
NRF1	1	0.3713375444956273	1.733643856727343	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NRF1 ENCODE	0.4302311387270788
EST1	1	0.3731761339758398	1.6737963930465611	ChEA_2022	EST1 17652178 ChIP-ChIP JURKAT Human	0.4280861388109272
TOP2B	1	0.3736621924731331	1.480119856687438	ChEA_2022	TOP2B 26459242 ChIP-Seq MCF-7 Human	0.4275208422920289
ZC3H11A	1	0.37634585044683455	2.891021709284692	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ZC3H11A ENCODE	0.42441286809251444
TRP53	1	0.3817269201735392	1.6607530374356752	TRRUST_Transcription_Factors_2019	TRP53 mouse	0.4182472116239599
ZIC3	1	0.38850558516962214	1.8416330301200672	ChEA_2022	ZIC3 20872845 ChIP-ChIP MESCs Mouse	0.410602733385816
TDRD3	1	0.39101105205983133	1.5965748482682054	ChEA_2022	TDRD3 21172665 ChIP-Seq MCF-7 Human	0.4078109669500076
ETS2	1	0.39271380478087337	2.0742698646198523	ChEA_2022	ETS2 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	0.40592383202527554
NEUROD2	1	0.39766371785734417	1.3584002415557141	ChEA_2022	NEUROD2 26341353 ChIP-Seq CORTEX Mouse	0.4004840314760561
SIX5	1	0.4341143635981414	1.4651695682222292	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SIX5 ENCODE	0.3623958443658321
PKCTHETA	1	0.4615849295742501	1.2868466253413695	ChEA_2022	PKCTHETA 26484144 Chip-Seq BREAST Human	0.33574837903253907
ZNF263	1	0.4693177180783849	2.0240784630820365	ChEA_2022	ZNF263 19887448 ChIP-Seq K562 Human	0.3285330496263735
IRF4	1	0.471292804958384	1.1226794077897497	ChEA_2022	IRF4 20064451 ChIP-Seq CD4+T Mouse	0.3267091903925456
RAC3	1	0.471292804958384	1.0658881895370378	ChEA_2022	RAC3 21632823 ChIP-Seq H3396 Human	0.3267091903925456
RXRA	1	0.4738158930541567	1.0605058291721614	ChEA_2022	RXRA 24833708 ChIP-Seq LIVER Mouse	0.3243903759687638
ZFP322A	1	0.4805636499393513	1.8603943677720451	ChEA_2022	ZFP322A 24550733 ChIP-Seq MESCs Mouse	0.3182490825287804
MTF2	1	0.48895477332748966	0.9766620421763813	ChEA_2022	MTF2 20144788 ChIP-Seq MESCs Mouse	0.3107313097980023
PGR	1	0.4938839572343605	1.0177438761605881	ChEA_2022	PGR 26153859 ChIP-Seq MCF-7 Human BreastCancer	0.30637508073812614
PHC1	1	0.5112528972303437	0.974061701030031	ChEA_2022	PHC1 16625203 ChIP-ChIP MESCs Mouse	0.2913642178646294
PBX1	1	0.5412746178858473	0.8257076709362989	ChEA_2022	PBX1 22567123 ChIP-ChIP OVCAR3 Human	0.26658233790167996
HCFC1	1	0.5469826762485551	0.9786941868027194	ChEA_2022	HCFC1 20581084 ChIP-Seq MESCs Mouse	0.26202642819819455
IGF1R	1	0.5485023057316082	1.1810979021435524	ChEA_2022	IGF1R 20145208 ChIP-Seq DFB Human	0.2608215424476849
EWS-FLI1	1	0.5485023057316082	0.8592303826107582	ChEA_2022	EWS-FLI1 20517297 ChIP-Seq SK-N-MC Human	0.2608215424476849
BCAT	1	0.5647361173866411	0.7919832248127611	ChEA_2022	BCAT 22108803 ChIP-Seq LS180 Human	0.2481544363110632
ZFP42	1	0.564804873094151	0.7489499098121322	ChEA_2022	ZFP42 18358816 ChIP-ChIP MESCs Mouse	0.24810156487981916
ELK3	1	0.5741751722491496	0.7060785480261588	ChEA_2022	ELK3 25401928 ChIP-Seq HUVEC Human	0.24095559064186703
PRDM16	1	0.5946052917995704	0.8683259395725303	ChEA_2022	PRDM16 22522345 ChIP-ChIP PALATE MESENCHYMAL Mouse	0.22577123002996075
TRP63	1	0.5946052917995704	0.8683259395725303	ChEA_2022	TRP63 18441228 ChIP-ChIP KERATINOCYTES Mouse	0.22577123002996075
EWS	1	0.6142424573689476	0.6103753295720487	ChEA_2022	EWS 26573619 Chip-Seq HEK293 Human	0.2116601677630744
ARID1A	1	0.6536333520531601	0.5867831030405206	ChEA_2022	ARID1A 32646524 ChIP-Seq H9 Human BoneMarrow Lymphoma	0.18466579576098663
SMC4	1	0.675085876289389	0.4595802300872229	ChEA_2022	SMC4 20622854 ChIP-Seq HELA Human	0.1706409779447394
CHD7	1	0.67752221260239	0.4988105687681543	ChEA_2022	CHD7 19251738 ChIP-ChIP MESCs Mouse	0.16907646185206684
P68	1	0.6978409216671618	0.4090771978506336	ChEA_2022	P68 20966046 ChIP-Seq HELA Human	0.1562435669412924
THRA	1	0.7214695163172127	0.3677482348305865	ChEA_2022	THRA 23701648 ChIP-Seq CEREBELLUM Mouse	0.14178201408525481
JARID1B-DAIN	1	0.7228309725064164	0.3584201386730454	ChEA_2022	JARID1B-DAIN 22020125 ChIP-Seq ESCs Mouse	0.14096324667496996
TBP	1	0.7228309725064164	0.3483709209344417	ChEA_2022	TBP 23326641 ChIP-Seq C3H10T1-2 Mouse	0.14096324667496996
EKLF	1	0.7329907954660408	0.3345792038966015	ChEA_2022	EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	0.13490147897879842
RARG	1	0.7386947486930023	0.31074067511336695	ChEA_2022	RARG 19884340 ChIP-ChIP MEFs Mouse	0.13153498832402236
EED	1	0.7439830870112253	0.304505870695853	ChEA_2022	EED 16625203 ChIP-ChIP MESCs Mouse	0.12843693717076946
CTBP2	1	0.7577339434647683	0.28554268556521845	ChEA_2022	CTBP2 25329375 ChIP-Seq LNCAP Human	0.12048325765058299
AUTS2	1	0.7761235576251452	0.2565509674549688	ChEA_2022	AUTS2 25519132 ChIP-Seq 293T-REX Human	0.11006913425309177
BCOR	1	0.7955799935120782	0.23935206030960818	ChEA_2022	BCOR 27268052 Chip-Seq Bcells Human	0.09931614663427053
TAF2	1	0.8069932321060934	0.21926354362926828	ChEA_2022	TAF2 19829295 ChIP-Seq ESCs Human	0.0931301074976357
KDM6A	1	0.8224560204021395	0.16560039830756093	ChEA_2022	KDM6A 18722178 ChIP-ChIP U937 AND SAOS2 Human	0.08488731600088475
IRF3	1	0.8264887943316437	0.24363805314973286	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	IRF3 ENCODE	0.0827630302872389
NR2C2	1	0.8264887943316437	0.22671436962270414	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NR2C2 ENCODE	0.0827630302872389
CTBP1	1	0.8304490021663975	0.1671362003519134	ChEA_2022	CTBP1 25329375 ChIP-Seq LNCAP Human	0.08068703239713201
BCLAF1	1	0.8461094966646527	0.20248125890003948	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	BCLAF1 ENCODE	0.0725734304360375
TBX4	1	0.8471391000893869	0.11665133067120437	ChEA_2022	TBX4 33478486 ChIP-Seq IMR90 Human Lung	0.07204527273742424
SP2	1	0.8904121938134122	0.09003043048725708	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SP2 ENCODE	0.05040890115580891
HTT	1	0.9179369183712591	0.045445671481884574	ChEA_2022	HTT 18923047 ChIP-ChIP STHdh Human	0.03718716296497948
JARID2	1	0.918674875301873	0.06344885216817624	ChEA_2022	JARID2 20075857 ChIP-Seq MESCs Mouse	0.0386714430249512
JARID1A	1	0.9990915816679611	0.0002673860105846749	ChEA_2022	JARID1A 20064375 ChIP-Seq MESCs Mouse	0.00039470037254664983
